x,y,z,,
-0.0047132,0.00124315,0.00317898,,
-0.00321072,0.00125761,0.00317965,,
-0.00170948,0.00126503,0.00318028,,
-0.000204075,0.00128095,0.00318119,,
0.0013025,0.00129892,0.00318031,,
0.00280467,0.00128689,0.00317942,,
0.00430577,0.00128673,0.0031786,,
0.00580867,0.00127653,0.00317794,,
0.00731075,0.00130463,0.00317727,,
0.00881293,0.0012905,0.00317684,,
0.0103148,0.0012807,0.00317651,,
0.0118167,0.00129861,0.0031763,,
0.0133197,0.0013098,0.00317615,,
0.014822,0.00129503,0.00317604,,
0.0163249,0.00129619,0.00317595,,
0.017827,0.00129509,0.00317588,,
0.0193287,0.00130596,0.00317582,,
0.0208329,0.00130646,0.00317578,,
0.0223347,0.00129347,0.00317575,,
0.0238369,0.00129533,0.00317572,,
0.0253387,0.00128574,0.00317571,,
0.0268432,0.00128157,0.00317569,,
0.0283448,0.00128435,0.00317567,,
0.0298477,0.00126743,0.00317567,,
0.0313493,0.00125027,0.00317566,,
0.0328511,0.00125969,0.00317566,,
0.0343539,0.00123162,0.00317566,,
0.0358578,0.0012499,0.00317565,,
0.03736,0.00121685,0.00317565,,
0.0388612,0.00121315,0.00317565,,
0.0403646,0.00123037,0.00317564,,
0.0418662,0.00120335,0.00317565,,
0.043371,0.00119725,0.00317565,,
0.0448711,0.00118874,0.00317565,,
4.64E-02,0.00116622,0.00317566,,
0.0478764,0.00117527,0.00317565,,
0.0493785,0.00115009,0.00317566,,
0.050882,0.00114164,0.00317566,,
0.0523842,0.00111435,0.00317566,,
0.053886,0.00108861,0.00317567,,
0.0553905,0.00106984,0.00317567,,
0.0568907,0.00104192,0.00317567,,
0.0583946,0.00102977,0.00317568,,
0.0598983,0.000989962,0.00317568,,
0.0613974,0.000984602,0.00317568,,
0.0629005,0.000953488,0.00317568,,
0.0644035,0.000934422,0.00317569,,
0.0659052,0.000908094,0.00317569,,
0.0674071,0.000893272,0.00317569,,
0.0689082,0.0008591,0.0031757,,
0.0704104,0.000836374,0.0031757,,
0.0719137,0.000830047,0.0031757,,
0.0734161,0.000800177,0.00317571,,
0.0749186,0.000778832,0.00317571,,
0.0764185,0.000734381,0.00317572,,
0.0779231,0.000707462,0.00317572,,
0.079424,0.000692269,0.00317572,,
0.0809275,0.000657916,0.00317573,,
0.0824291,0.000610569,0.00317573,,
0.0839331,0.000594232,0.00317573,,
0.0854362,0.000554893,0.00317574,,
0.0869346,0.000501927,0.00317574,,
0.088441,0.000492543,0.00317575,,
0.0899417,0.000436977,0.00317575,,
0.0914446,0.000373553,0.00317576,,
0.0929475,0.000340153,0.00317576,,
0.0944503,0.000315342,0.00317577,,
0.0959533,0.000280481,0.00317577,,
0.0974558,0.000217862,0.00317578,,
0.0989582,0.000204574,0.00317578,,
0.100459,0.000176461,0.00317578,,
0.101964,0.000144713,0.00317578,,
0.103467,0.000142917,0.00317579,,
0.10497,0.000105694,0.00317579,,
0.106472,5.72E-05,0.0031758,,
0.107975,6.98E-06,0.0031758,,
0.109478,-2.66E-05,0.00317581,,
0.110977,-7.36E-05,0.00317582,,
0.112481,-0.000101471,0.00317582,,
0.113982,-0.000128342,0.00317582,,
0.115486,-0.000166466,0.00317583,,
0.11699,-0.000225648,0.00317584,,
0.118493,-0.000247646,0.00317584,,
0.119993,-0.000306604,0.0039696,,
0.119993,-0.000306813,0.00476334,,
0.119994,-0.000307094,0.00555709,,
-0.2,0.000499994,0.00555625,,
-0.2,0.000499994,0.0047625,,
-0.2,0.000499994,0.00396875,,
-0.198498,0.000501527,0.00635,,
-0.196996,0.000502121,0.00635,,
-0.195493,0.000508279,0.00635,,
-0.193991,0.000505749,0.00635001,,
-0.192488,0.000491012,0.00635002,,
-0.190986,0.000508387,0.00635003,,
-0.189484,0.000493292,0.00635004,,
-0.187981,0.000493728,0.00635006,,
-0.18648,0.000482578,0.00635008,,
-0.184979,0.000488084,0.0063501,,
-0.183476,0.000493003,0.00635012,,
-0.181974,0.000479147,0.00635015,,
-0.180473,0.000477023,0.00635018,,
-0.178971,0.000475254,0.00635022,,
-0.177468,0.000469632,0.00635026,,
-0.175967,0.000453856,0.00635031,,
-0.174464,0.00048057,0.00635038,,
-0.172964,0.000508543,0.00635046,,
-0.171461,0.000504514,0.00635057,,
-0.16996,0.00049511,0.00635072,,
-0.168459,0.00049039,0.00635091,,
-0.166958,0.000494182,0.00635113,,
-0.165456,0.000475438,0.00635134,,
-0.163956,0.000470243,0.00635152,,
-0.162454,0.000475865,0.00635165,,
-0.160951,0.00048947,0.00635173,,
-0.15945,0.000467516,0.00635176,,
-0.157949,0.000466656,0.00635177,,
-0.156445,0.00046381,0.00635177,,
-0.154942,0.000468619,0.00635177,,
-0.15344,0.000468854,0.00635177,,
-0.151938,0.000474527,0.00635177,,
-0.150435,0.000484034,0.00635177,,
-0.148932,0.000488758,0.00635178,,
-0.147429,0.000488561,0.00635178,,
-0.145925,0.000491677,0.00635178,,
-0.144421,0.000472754,0.00635179,,
-0.142919,0.000482973,0.00635179,,
-0.141413,0.000483766,0.00635179,,
-0.139912,0.000488788,0.00635178,,
-0.13841,0.000482121,0.00635176,,
-0.136908,0.000497028,0.00635174,,
-0.135407,0.00048136,0.00635172,,
-0.133905,0.000476394,0.00635169,,
-0.132406,0.000484357,0.00635166,,
-0.130904,0.000497887,0.00635164,,
-0.129403,0.000490442,0.00635161,,
-0.127902,0.00050569,0.0063516,,
-0.126399,0.000503909,0.00635159,,
-0.124897,0.000531394,0.00635158,,
-0.123392,0.000522828,0.00635157,,
-0.121891,0.000521202,0.00635157,,
-0.120387,0.000519514,0.00635158,,
-0.118883,0.000531763,0.00635158,,
-0.117384,0.000529822,0.00635159,,
-0.115885,0.000526985,0.00635158,,
-0.114385,0.000531405,0.00635158,,
-0.112882,0.000539161,0.00635157,,
-0.11138,0.000536583,0.00635156,,
-0.109878,0.000531597,0.00635155,,
-0.108376,0.000526957,0.00635155,,
-0.106874,0.000530295,0.00635155,,
-0.105373,0.000553545,0.00635155,,
-0.10387,0.000545675,0.00635154,,
-0.102367,0.000551965,0.00635154,,
-0.100866,0.00055214,0.00635154,,
-0.0993647,0.000560798,0.00635154,,
-0.0978637,0.000567548,0.00635154,,
-0.0963607,0.000573609,0.00635153,,
-0.0948581,0.000572473,0.00635153,,
-0.0933556,0.000577515,0.00635152,,
-0.0918545,0.00056749,0.00635152,,
-0.0903509,0.000585992,0.00635153,,
-0.0888484,0.000581987,0.00635153,,
-0.087346,0.000580313,0.00635154,,
-0.0858436,0.000596458,0.00635154,,
-0.0843407,0.00059709,0.00635154,,
-0.0828376,0.000623168,0.00635153,,
-0.0813325,0.000593744,0.00635152,,
-0.0798296,0.000605948,0.00635151,,
-0.0783269,0.000624347,0.00635151,,
-0.076824,0.000634126,0.00635152,,
-0.0753226,0.000647143,0.00635152,,
-0.0738217,0.000655331,0.00635154,,
-0.072317,0.000640009,0.00635155,,
-0.0708152,0.00064889,0.00635156,,
-0.0693123,0.000670001,0.00635158,,
-0.0678111,0.000677727,0.00635159,,
-0.0663078,0.000700383,0.00635159,,
-0.0648048,0.000670314,0.00635159,,
-0.0633032,0.000679882,0.0063516,,
-0.0618013,0.00070288,0.00635159,,
-0.0602978,0.000720231,0.00635159,,
-0.0587944,0.000720937,0.00635159,,
-0.0572922,0.000739813,0.00635159,,
-0.0557885,0.000728479,0.00635158,,
-0.0542858,0.000732645,0.00635158,,
-0.0527844,0.000754528,0.00635158,,
-0.0512819,0.000770057,0.00635158,,
-0.0497795,0.000782385,0.00635159,,
-0.0482764,0.000800285,0.00635161,,
-0.0467752,0.000810096,0.00635163,,
-0.0452733,0.000804055,0.00635166,,
-0.0437693,0.00081405,0.0063517,,
-0.0422677,0.000820413,0.00635173,,
-0.0407669,0.00083006,0.00635177,,
-0.0392633,0.000847211,0.0063518,,
-0.0377605,0.000864791,0.00635183,,
-0.0362589,0.000881994,0.00635185,,
-0.034757,0.000890044,0.00635185,,
-0.0332553,0.000898324,0.00635185,,
-0.0317537,0.000912767,0.00635185,,
-0.0302516,0.000926252,0.00635185,,
-0.0287494,0.000944518,0.00635186,,
-0.0272466,0.000957871,0.00635188,,
-0.0257434,0.000991371,0.0063519,,
-0.0242415,0.000997249,0.00635194,,
-0.0227395,0.00100213,0.00635198,,
-0.0212347,0.00102284,0.00635203,,
-0.0197324,0.00104826,0.00635207,,
-0.0182317,0.00104807,0.00635213,,
-0.0167289,0.00106822,0.00635218,,
-0.0152272,0.00108293,0.00635224,,
-0.0137252,0.00111702,0.0063523,,
-0.012223,0.00111193,0.00635239,,
-0.0107223,0.00113324,0.00635251,,
-0.00921978,0.00116056,0.00635265,,
-0.00771736,0.00117924,0.00635285,,
-0.00621567,0.0012103,0.00635307,,
-0.00471343,0.00122663,0.00635333,,
-0.00321081,0.00123606,0.00635359,,
-0.0017081,0.00123915,0.00635389,,
-0.000205141,0.00125105,0.00635399,,
0.00130008,0.00127193,0.00635375,,
0.00280323,0.00126616,0.0063533,,
0.00430665,0.00126648,0.00635288,,
0.00580779,0.00125986,0.00635249,,
0.00730842,0.0012909,0.00635216,,
0.00881263,0.00127766,0.00635189,,
0.0103145,0.00127196,0.00635167,,
0.011817,0.00129138,0.0063515,,
0.0133193,0.00130303,0.00635137,,
0.0148221,0.00128896,0.00635126,,
0.0163254,0.00129184,0.00635116,,
1.78E-02,0.00129433,0.00635108,,
0.0193306,0.00130142,0.00635102,,
0.0208331,0.00130344,0.00635096,,
0.0223363,0.00129086,0.00635091,,
0.0238378,0.0012934,0.00635087,,
0.0253403,0.00128266,0.00635084,,
0.0268422,0.00127929,0.00635081,,
0.0283446,0.00128021,0.00635078,,
0.0298475,0.00126522,0.00635076,,
0.0313494,0.00124956,0.00635074,,
0.0328514,0.00125548,0.00635073,,
0.0343548,0.00123044,0.00635072,,
0.0358576,0.00124721,0.00635071,,
0.03736,0.00121589,0.0063507,,
0.0388628,0.00121176,0.0063507,,
0.0403649,0.00122868,0.00635068,,
0.0418673,0.00120071,0.00635069,,
0.0433696,0.00119615,0.00635068,,
0.0448729,0.00118732,0.00635068,,
0.0463754,0.00116388,0.00635068,,
0.0478784,0.00117589,0.00635067,,
0.0493807,0.00115017,0.00635067,,
0.0508839,0.00113811,0.00635067,,
0.0523854,0.00111353,0.00635067,,
0.0538895,0.00108659,0.00635067,,
0.0553903,0.00107046,0.00635067,,
0.0568935,0.00104113,0.00635068,,
0.0583954,0.00102966,0.00635068,,
0.0598984,0.000990964,0.00635068,,
0.0614011,0.000984661,0.00635068,,
0.0629001,0.000953997,0.00635068,,
0.0644037,0.000932168,0.00635068,,
